               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.070043,            0.078751,                   0,             0.53545,             0.32321,             0.42775,             0.25464,             0.10432,            0.082924,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,            0.070696,            0.076639,                   0,              0.5886,             0.33765,             0.45652,             0.27206,             0.10826,            0.077837,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,            0.069936,             0.07686,                   0,              0.5792,             0.36657,             0.46992,             0.28129,             0.10856,             0.07665,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,            0.068294,            0.077519,                   0,              0.5923,             0.36172,             0.47308,             0.28665,             0.11059,            0.073416,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,             0.06907,            0.082394,                   0,             0.59356,             0.35671,              0.4699,             0.28332,             0.10776,            0.076692,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,            0.069707,            0.076849,                   0,             0.53902,             0.37656,              0.4496,             0.26766,              0.1107,            0.076362,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,            0.069925,            0.080173,                   0,             0.53894,             0.38407,             0.45958,             0.27104,              0.1099,            0.076522,                   0,            0.008682,            0.008682,            0.008682
                  77,            0.068459,            0.077297,                   0,             0.54797,             0.39102,             0.46662,             0.27666,             0.10821,            0.079306,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,             0.06876,            0.073498,                   0,              0.5975,             0.35552,             0.47443,             0.28685,             0.10632,            0.080062,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,            0.069226,            0.073998,                   0,              0.5566,             0.38749,             0.46765,             0.28108,             0.10843,            0.079475,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,             0.06945,            0.075462,                   0,             0.58505,              0.3609,             0.46499,             0.28048,             0.10585,            0.081079,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,            0.069406,            0.074172,                   0,             0.55767,             0.39053,             0.47471,             0.28508,             0.10623,            0.082062,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,            0.070393,            0.077164,                   0,             0.61757,             0.32836,             0.46781,             0.28297,             0.10695,            0.077376,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,            0.069065,            0.074989,                   0,             0.58082,             0.36748,             0.47282,             0.28542,             0.10695,             0.07887,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,            0.068392,            0.073662,                   0,             0.59219,             0.37528,             0.48078,             0.29057,             0.10855,            0.078406,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,            0.067412,            0.073426,                   0,             0.59858,             0.36797,             0.48033,             0.29417,             0.10807,            0.078315,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.069095,            0.072511,                   0,             0.59654,             0.36789,              0.4806,             0.28955,             0.10676,             0.08053,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,            0.068957,            0.076949,                   0,              0.5755,             0.38301,              0.4776,             0.28807,             0.10732,            0.080504,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.067714,            0.077262,                   0,             0.60303,             0.36817,              0.4808,             0.29235,             0.10831,            0.078737,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,            0.068321,            0.079251,                   0,             0.57266,              0.3957,             0.48527,              0.2921,              0.1084,            0.079568,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,            0.068274,            0.079118,                   0,             0.57069,             0.39455,             0.48065,             0.29014,             0.10798,            0.079075,                   0,            0.008183,            0.008183,            0.008183
                  91,            0.067898,            0.079859,                   0,              0.5866,             0.38407,             0.48397,             0.29242,             0.10704,            0.079159,                   0,            0.008145,            0.008145,            0.008145
                  92,            0.067551,            0.074752,                   0,             0.57603,             0.38535,             0.48145,             0.29039,             0.10771,            0.079684,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,            0.068453,            0.078914,                   0,              0.5724,             0.40684,             0.49327,             0.29864,             0.10784,            0.080345,                   0,           0.0080682,           0.0080682,           0.0080682
                  94,            0.067274,            0.076213,                   0,             0.60444,              0.3782,             0.49178,             0.30059,             0.10837,            0.078295,                   0,           0.0080294,           0.0080294,           0.0080294
                  95,            0.066387,             0.07515,                   0,             0.58441,             0.38814,             0.48526,              0.2941,             0.10854,            0.077676,                   0,           0.0079903,           0.0079903,           0.0079903
                  96,            0.068377,            0.077493,                   0,             0.58088,             0.38888,             0.48494,             0.29295,             0.10712,            0.080522,                   0,           0.0079509,           0.0079509,           0.0079509
                  97,            0.067951,            0.077124,                   0,             0.56196,             0.39936,             0.47999,             0.28999,             0.10672,            0.082633,                   0,           0.0079112,           0.0079112,           0.0079112
                  98,            0.067073,            0.078788,                   0,             0.60639,             0.37573,             0.48586,             0.29544,             0.10668,            0.081433,                   0,           0.0078713,           0.0078713,           0.0078713
                  99,            0.067407,            0.075181,                   0,             0.60041,             0.38461,             0.48974,             0.29926,             0.10671,            0.079731,                   0,           0.0078311,           0.0078311,           0.0078311
                 100,             0.06766,            0.070939,                   0,             0.59324,             0.39147,             0.49231,             0.30008,             0.10718,            0.080641,                   0,           0.0077907,           0.0077907,           0.0077907
                 101,             0.06797,            0.082862,                   0,              0.6092,             0.36353,              0.4813,             0.29349,             0.10545,            0.081655,                   0,             0.00775,             0.00775,             0.00775
                 102,            0.067783,            0.076918,                   0,              0.5941,             0.39817,             0.49502,             0.30245,             0.10721,            0.081088,                   0,           0.0077091,           0.0077091,           0.0077091
                 103,            0.067733,            0.071351,                   0,             0.54659,             0.36366,             0.45149,             0.26991,             0.10743,            0.080504,                   0,           0.0076679,           0.0076679,           0.0076679
                 104,            0.068096,            0.071776,                   0,              0.5757,             0.39932,             0.49132,             0.29666,             0.10867,            0.078512,                   0,           0.0076265,           0.0076265,           0.0076265
                 105,            0.066196,            0.076835,                   0,             0.58998,             0.39468,             0.49144,             0.29838,             0.10709,            0.079727,                   0,           0.0075848,           0.0075848,           0.0075848
                 106,            0.067842,            0.074375,                   0,             0.59368,             0.38198,             0.48747,             0.29681,             0.10739,            0.079361,                   0,            0.007543,            0.007543,            0.007543
                 107,            0.067241,            0.079163,                   0,             0.58086,             0.39932,             0.49025,             0.29622,             0.10748,            0.080773,                   0,           0.0075009,           0.0075009,           0.0075009
                 108,            0.067497,             0.07499,                   0,             0.59061,             0.39488,             0.49185,             0.29806,             0.10845,            0.078492,                   0,           0.0074585,           0.0074585,           0.0074585
                 109,            0.066777,              0.0705,                   0,             0.62455,             0.38773,             0.50496,              0.3097,             0.10778,            0.080464,                   0,            0.007416,            0.007416,            0.007416
                 110,            0.066531,             0.07678,                   0,             0.58098,             0.40339,             0.49343,             0.29823,             0.10684,            0.082665,                   0,           0.0073733,           0.0073733,           0.0073733
                 111,            0.066009,            0.074393,                   0,             0.55914,             0.39743,             0.47703,             0.28748,             0.10909,            0.079361,                   0,           0.0073303,           0.0073303,           0.0073303
                 112,            0.066669,            0.074494,                   0,             0.55733,             0.42656,             0.49679,             0.30119,             0.10917,             0.08058,                   0,           0.0072872,           0.0072872,           0.0072872
                 113,            0.067222,             0.07326,                   0,             0.60344,             0.39707,              0.5036,             0.30656,             0.10668,             0.08177,                   0,           0.0072438,           0.0072438,           0.0072438
                 114,            0.066095,            0.072718,                   0,             0.59116,             0.40659,             0.49936,             0.30393,             0.10792,            0.080405,                   0,           0.0072003,           0.0072003,           0.0072003
                 115,            0.066218,            0.076175,                   0,             0.56584,             0.41419,             0.49325,             0.29741,             0.10772,            0.080356,                   0,           0.0071566,           0.0071566,           0.0071566
                 116,            0.066386,            0.076787,                   0,              0.5829,             0.41255,             0.49899,             0.30297,             0.10808,             0.08028,                   0,           0.0071127,           0.0071127,           0.0071127
                 117,            0.068193,            0.075917,                   0,             0.58855,             0.40704,             0.49764,             0.30147,             0.10666,             0.08076,                   0,           0.0070686,           0.0070686,           0.0070686
                 118,            0.066425,            0.070039,                   0,             0.58528,             0.38872,             0.48577,             0.29368,             0.10735,            0.081146,                   0,           0.0070243,           0.0070243,           0.0070243
                 119,            0.066674,            0.071249,                   0,             0.61114,             0.39776,             0.50424,             0.30678,             0.10669,            0.081275,                   0,           0.0069799,           0.0069799,           0.0069799
                 120,            0.066421,            0.072236,                   0,             0.59756,              0.4068,             0.50513,             0.30815,             0.11033,            0.077398,                   0,           0.0069353,           0.0069353,           0.0069353
                 121,            0.066261,            0.074542,                   0,             0.61055,             0.40133,             0.50555,             0.31029,             0.10917,            0.077848,                   0,           0.0068906,           0.0068906,           0.0068906
                 122,            0.065578,            0.076196,                   0,             0.59947,             0.40451,             0.49998,             0.30374,             0.10879,            0.079063,                   0,           0.0068457,           0.0068457,           0.0068457
                 123,            0.065714,             0.06868,                   0,             0.58521,             0.40478,             0.49684,             0.30243,             0.10664,            0.083041,                   0,           0.0068006,           0.0068006,           0.0068006
                 124,            0.066978,            0.073493,                   0,             0.58616,             0.40864,             0.49961,             0.30522,             0.10999,            0.077952,                   0,           0.0067555,           0.0067555,           0.0067555
                 125,            0.066705,            0.074711,                   0,              0.5968,             0.40951,             0.50594,              0.3106,             0.10795,            0.082006,                   0,           0.0067101,           0.0067101,           0.0067101
                 126,             0.06633,            0.075757,                   0,             0.56425,             0.42196,             0.49289,              0.2974,             0.11032,            0.079029,                   0,           0.0066647,           0.0066647,           0.0066647
                 127,            0.066643,            0.074743,                   0,             0.58441,             0.41735,             0.50439,             0.30492,             0.10872,            0.080636,                   0,           0.0066191,           0.0066191,           0.0066191
